ts_iso,com,mac,endpoint,variant,flash
2026-05-26T15:29:57,COM28,10:51:db:1b:f7:94,ami-esp32c6-f794,build_ota_ftd,20m/dout
2026-05-26T15:30:18,COM29,fc:01:2c:e3:ba:64,ami-esp32c6-ba64,build_ota_ftd,20m/dout
2026-05-26T15:30:40,COM30,10:51:db:1b:f6:d4,ami-esp32c6-f6d4,build_ota_ftd,20m/dout
2026-05-26T15:52:22,COM8,10:51:db:1c:15:58,ami-esp32c6-1558,build_ota_ftd,20m/dout
2026-05-26T15:52:44,COM31,10:51:db:1b:f8:1c,ami-esp32c6-f81c,build_ota_ftd,20m/dout
2026-05-26T15:53:05,COM32,10:51:db:1b:f7:68,ami-esp32c6-f768,build_ota_ftd,20m/dout
2026-05-26T15:53:26,COM33,10:51:db:1b:fb:b4,ami-esp32c6-fbb4,build_ota_ftd,20m/dout
2026-05-26T15:53:48,COM34,10:51:db:1c:08:fc,ami-esp32c6-08fc,build_ota_ftd,20m/dout
2026-05-26T15:54:09,COM35,10:51:db:1c:15:34,ami-esp32c6-1534,build_ota_ftd,20m/dout
2026-05-26T15:54:31,COM36,10:51:db:1b:f7:88,ami-esp32c6-f788,build_ota_ftd,20m/dout
2026-05-26T16:03:03,COM37,fc:01:2c:e3:d2:b4,ami-esp32c6-d2b4,build_ota_ftd,20m/dout
2026-05-26T16:03:24,COM39,10:51:db:1b:f8:08,ami-esp32c6-f808,build_ota_ftd,20m/dout
2026-05-26T16:03:46,COM40,10:51:db:1c:09:1c,ami-esp32c6-091c,build_ota_ftd,20m/dout
2026-05-26T16:04:07,COM41,10:51:db:1b:f6:e4,ami-esp32c6-f6e4,build_ota_ftd,20m/dout
2026-05-26T16:04:29,COM42,fc:01:2c:e3:c1:44,ami-esp32c6-c144,build_ota_ftd,20m/dout
2026-05-26T16:04:50,COM43,10:51:db:1c:15:d8,ami-esp32c6-15d8,build_ota_ftd,20m/dout
2026-05-26T16:05:12,COM44,10:51:db:1c:15:5c,ami-esp32c6-155c,build_ota_ftd,20m/dout
2026-05-26T16:12:48,COM46,58:e6:c5:18:c6:1c,ami-esp32c6-c61c,build_ota_ftd,20m/dout
2026-05-26T16:13:09,COM47,58:e6:c5:18:c6:0c,ami-esp32c6-c60c,build_ota_ftd,20m/dout
2026-05-26T22:42:20,COM17,10:51:db:1c:14:94,ami-esp32c6-1494,build_ota_ftd,20m/dout
2026-05-26T22:42:21,COM18,10:51:db:1b:f7:b4,ami-esp32c6-f7b4,build_ota_ftd,20m/dout
2026-05-26T22:42:24,COM19,10:51:db:1b:fb:b8,ami-esp32c6-fbb8,build_ota_ftd,20m/dout
2026-05-26T22:42:26,COM20,10:51:db:1c:14:c8,ami-esp32c6-14c8,build_ota_ftd,20m/dout
2026-05-26T22:42:28,COM21,10:51:db:1b:f6:c8,ami-esp32c6-f6c8,build_ota_ftd,20m/dout
2026-05-26T22:42:31,COM22,10:51:db:1c:14:bc,ami-esp32c6-14bc,build_ota_ftd,20m/dout
2026-05-26T22:42:33,COM23,10:51:db:1c:14:98,ami-esp32c6-1498,build_ota_ftd,20m/dout
2026-05-26T22:44:06,COM24,10:51:db:1b:f7:9c,ami-esp32c6-f79c,build_ota_ftd,20m/dout
2026-05-26T22:44:09,COM25,10:51:db:1b:f8:54,ami-esp32c6-f854,build_ota_ftd,20m/dout
2026-05-26T22:44:12,COM26,10:51:db:1b:f8:4c,ami-esp32c6-f84c,build_ota_ftd,20m/dout
2026-05-26T22:44:15,COM27,10:51:db:1b:f7:e8,ami-esp32c6-f7e8,build_ota_ftd,20m/dout
2026-05-26T22:44:17,COM28,10:51:db:1b:f7:94,ami-esp32c6-f794,build_ota_ftd,20m/dout
2026-05-26T22:44:19,COM29,fc:01:2c:e3:ba:64,ami-esp32c6-ba64,build_ota_ftd,20m/dout
2026-05-26T22:44:21,COM30,10:51:db:1b:f6:d4,ami-esp32c6-f6d4,build_ota_ftd,20m/dout
2026-05-26T22:45:14,COM31,10:51:db:1b:f8:1c,ami-esp32c6-f81c,build_ota_ftd,20m/dout
2026-05-26T22:46:44,COM32,10:51:db:1b:f7:68,ami-esp32c6-f768,build_ota_ftd,20m/dout
2026-05-26T22:46:49,COM33,10:51:db:1b:fb:b4,ami-esp32c6-fbb4,build_ota_ftd,20m/dout
